,FLARE_TYPE,COINCIDENCE,SAVNCPP_1,SAVNCPP_2,SAVNCPP_3,SAVNCPP_4,SAVNCPP_5
99,M,True,8518600000000.0,8034000000000.0,7615800000000.0,8022900000000.0,9146100000000.0
100,M,False,13091000000000.0,14380000000000.0,12558000000000.0,16237000000000.0,10823000000000.0
101,M,False,5186200000000.0,5236200000000.0,4573500000000.0,4842400000000.0,6241100000000.0
102,M,True,13076000000000.0,12257000000000.0,11647000000000.0,13676000000000.0,12145000000000.0
103,M,True,15981000000000.0,14511000000000.0,17389000000000.0,16255000000000.0,15755000000000.0
104,M,True,25076000000000.0,32717000000000.0,29238000000000.0,28025000000000.0,30386000000000.0
105,M,False,22644000000000.0,19804000000000.0,25603000000000.0,15436000000000.0,13343000000000.0
106,M,False,4887400000000.0,7676000000000.0,3764600000000.0,7141400000000.0,5888800000000.0
107,M,True,17688000000000.0,33798000000000.0,16884000000000.0,20288000000000.0,17740000000000.0
108,M,False,20288000000000.0,17740000000000.0,14706000000000.0,4239700000000.0,15480000000000.0
109,M,False,2565100000000.0,3836000000000.0,3574800000000.0,11429000000000.0,2780500000000.0
110,M,False,21281000000000.0,19396000000000.0,11024000000000.0,3884400000000.0,12734000000000.0
111,M,False,18453000000000.0,20064000000000.0,20043000000000.0,23295000000000.0,19743000000000.0
112,M,False,21931000000000.0,17089000000000.0,20669000000000.0,20070000000000.0,20365000000000.0
113,M,True,10201000000000.0,9161500000000.0,13408000000000.0,7505700000000.0,9631500000000.0
114,M,False,1510200000000.0,2283700000000.0,2110400000000.0,1855500000000.0,2032400000000.0
115,M,True,10889000000000.0,10574000000000.0,12028000000000.0,6096200000000.0,4679500000000.0
116,M,False,1503000000000.0,4098000000000.0,4491600000000.0,2272100000000.0,2457200000000.0
117,M,False,14695000000000.0,16847000000000.0,14619000000000.0,11377000000000.0,15455000000000.0
118,M,False,9290200000000.0,8987600000000.0,8727700000000.0,9649200000000.0,11139000000000.0
119,M,True,8344400000000.0,8608600000000.0,7457700000000.0,9598200000000.0,8780300000000.0
120,M,True,9076700000000.0,9222800000000.0,9245500000000.0,10086000000000.0,9053800000000.0
121,M,False,18091000000000.0,20580000000000.0,19558000000000.0,19481000000000.0,19457000000000.0
122,M,False,33374000000000.0,32084000000000.0,35599000000000.0,33669000000000.0,33756000000000.0
123,M,False,3052500000000.0,6358700000000.0,6184400000000.0,6307400000000.0,6530700000000.0
124,M,False,9076800000000.0,8515200000000.0,7540700000000.0,7812600000000.0,7352400000000.0
125,M,True,3487900000000.0,4714500000000.0,2123800000000.0,1480100000000.0,3412900000000.0
126,M,True,8067100000000.0,3367000000000.0,10305000000000.0,12178000000000.0,12458000000000.0
127,M,True,10984000000000.0,8660600000000.0,13420000000000.0,8649400000000.0,11002000000000.0
128,M,True,2576200000000.0,8028500000000.0,1316900000000.0,10333000000000.0,8086900000000.0
129,M,True,2279300000000.0,1245300000000.0,2193600000000.0,1803100000000.0,1166900000000.0
130,M,True,7018300000000.0,7609700000000.0,7044900000000.0,7968200000000.0,9142500000000.0
131,M,False,2709400000000.0,2968700000000.0,2757800000000.0,2364200000000.0,3504600000000.0
132,M,False,5398300000000.0,5477800000000.0,2803700000000.0,5885000000000.0,4830600000000.0
133,M,False,6464200000000.0,8365200000000.0,6740000000000.0,8400800000000.0,8095000000000.0
134,M,False,4518000000000.0,5827700000000.0,5006900000000.0,5625300000000.0,3491100000000.0
135,M,True,15751000000000.0,16444000000000.0,13132000000000.0,17193000000000.0,15390000000000.0
136,M,False,6049200000000.0,6269200000000.0,5231400000000.0,6353100000000.0,6755500000000.0
137,M,False,16591000000000.0,7591900000000.0,17935000000000.0,17758000000000.0,13031000000000.0
138,M,True,2139600000000.0,1916200000000.0,2309800000000.0,2626800000000.0,3118300000000.0
139,M,False,17388000000000.0,17660000000000.0,18854000000000.0,19765000000000.0,18101000000000.0
140,M,True,9403100000000.0,14149000000000.0,12761000000000.0,5557700000000.0,8514300000000.0
141,M,False,7300000000000.0,6479500000000.0,7563700000000.0,9918800000000.0,9503500000000.0
142,M,False,6336200000000.0,10590000000000.0,13312000000000.0,8121500000000.0,9230000000000.0
143,M,True,13789000000000.0,14293000000000.0,15877000000000.0,13458000000000.0,13848000000000.0
144,M,False,11305000000000.0,10530000000000.0,13097000000000.0,10286000000000.0,11219000000000.0
145,M,False,28262000000000.0,28481000000000.0,28338000000000.0,29715000000000.0,26951000000000.0
146,M,False,20991000000000.0,25921000000000.0,26991000000000.0,18608000000000.0,18043000000000.0
147,M,False,21532000000000.0,25345000000000.0,23433000000000.0,20855000000000.0,20442000000000.0
148,M,False,2170000000000.0,4098100000000.0,4792300000000.0,3201700000000.0,3991000000000.0
149,M,True,15695000000000.0,11020000000000.0,18039000000000.0,10887000000000.0,13632000000000.0
150,M,True,40839000000000.0,43171000000000.0,39518000000000.0,41958000000000.0,39581000000000.0
151,M,False,43171000000000.0,39518000000000.0,41958000000000.0,39581000000000.0,40325000000000.0
152,M,False,45431000000000.0,47453000000000.0,47476000000000.0,46522000000000.0,46036000000000.0
153,M,True,50757000000000.0,49191000000000.0,49910000000000.0,50318000000000.0,50161000000000.0
154,M,False,55140000000000.0,54772000000000.0,52601000000000.0,53525000000000.0,51972000000000.0
155,M,False,56011000000000.0,55164000000000.0,57297000000000.0,53323000000000.0,49730000000000.0
156,M,False,56517000000000.0,56214000000000.0,56739000000000.0,57441000000000.0,56693000000000.0
157,M,False,52828000000000.0,55584000000000.0,52053000000000.0,50604000000000.0,55843000000000.0
158,M,False,78388000000000.0,79602000000000.0,76490000000000.0,78557000000000.0,78859000000000.0
159,M,False,90712000000000.0,89821000000000.0,91722000000000.0,90614000000000.0,89508000000000.0
160,M,False,82421000000000.0,83479000000000.0,85428000000000.0,83912000000000.0,79786000000000.0
161,M,False,54392000000000.0,51409000000000.0,53600000000000.0,53900000000000.0,55232000000000.0
162,M,True,2742400000000.0,2445700000000.0,2451700000000.0,1849000000000.0,2009800000000.0
163,M,False,1115100000000.0,1301300000000.0,1130000000000.0,327000000000.0,1123000000000.0
164,M,False,2628300000000.0,1729200000000.0,2093200000000.0,2650700000000.0,1504600000000.0
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,5163500000000.0,4817900000000.0,4133000000000.0,4524200000000.0,5477000000000.0
167,M,True,28083000000000.0,33275000000000.0,30414000000000.0,30139000000000.0,26352000000000.0
168,M,True,35439000000000.0,36235000000000.0,36966000000000.0,36107000000000.0,37797000000000.0
169,M,False,35247000000000.0,31788000000000.0,34769000000000.0,30167000000000.0,37359000000000.0
170,M,True,62051000000000.0,62829000000000.0,53296000000000.0,62331000000000.0,59661000000000.0
171,M,False,60657000000000.0,57906000000000.0,58041000000000.0,57603000000000.0,55893000000000.0
172,M,False,62710000000000.0,64847000000000.0,63921000000000.0,64181000000000.0,64636000000000.0
173,M,False,12736000000000.0,20042000000000.0,11522000000000.0,10506000000000.0,10174000000000.0
174,M,False,5463300000000.0,6066600000000.0,4833900000000.0,4622000000000.0,3457300000000.0
175,M,False,13355000000000.0,12520000000000.0,12729000000000.0,12696000000000.0,13814000000000.0
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,1852700000000.0,479210000000.0,2665800000000.0,3028800000000.0,2203000000000.0
178,M,False,3937800000000.0,1604700000000.0,1105100000000.0,5647600000000.0,632620000000.0
179,M,False,13154000000000.0,15186000000000.0,15922000000000.0,17631000000000.0,14611000000000.0
180,M,True,9416400000000.0,9106100000000.0,8024700000000.0,8801000000000.0,6894500000000.0
181,M,False,13156000000000.0,14835000000000.0,15187000000000.0,15141000000000.0,15204000000000.0
182,M,True,10462000000000.0,12036000000000.0,11325000000000.0,11715000000000.0,12804000000000.0
183,M,False,13333000000000.0,14125000000000.0,15602000000000.0,15522000000000.0,15272000000000.0
184,M,True,13717000000000.0,14077000000000.0,14419000000000.0,13209000000000.0,15011000000000.0
185,M,False,15471000000000.0,13154000000000.0,12747000000000.0,14210000000000.0,13496000000000.0
186,M,True,12081000000000.0,13512000000000.0,10468000000000.0,11519000000000.0,13574000000000.0
187,M,False,17759000000000.0,20356000000000.0,19460000000000.0,21731000000000.0,23116000000000.0
188,M,False,22175000000000.0,23022000000000.0,20872000000000.0,18626000000000.0,21416000000000.0
189,M,True,17337000000000.0,16469000000000.0,15585000000000.0,16107000000000.0,15594000000000.0
190,M,True,19934000000000.0,23277000000000.0,21897000000000.0,18682000000000.0,18211000000000.0
191,M,True,24482000000000.0,25135000000000.0,23326000000000.0,24052000000000.0,25766000000000.0
192,M,True,33168000000000.0,31837000000000.0,31957000000000.0,32524000000000.0,34814000000000.0
193,M,False,8514000000000.0,10047000000000.0,11232000000000.0,8525200000000.0,7183800000000.0
194,M,True,22204000000000.0,22257000000000.0,16398000000000.0,19647000000000.0,19317000000000.0
195,M,False,19583000000000.0,16191000000000.0,17521000000000.0,17946000000000.0,20700000000000.0
196,M,False,18949000000000.0,16810000000000.0,15977000000000.0,15379000000000.0,16053000000000.0
197,M,True,19257000000000.0,18208000000000.0,18472000000000.0,18661000000000.0,22167000000000.0
198,M,True,22167000000000.0,18655000000000.0,17267000000000.0,17860000000000.0,17900000000000.0
199,M,False,19766000000000.0,19385000000000.0,17714000000000.0,19586000000000.0,15032000000000.0
200,M,False,1087300000000.0,1208800000000.0,1903100000000.0,812450000000.0,2638600000000.0
201,M,True,12953000000000.0,15186000000000.0,16131000000000.0,17519000000000.0,19533000000000.0
202,M,False,19533000000000.0,19501000000000.0,21903000000000.0,17944000000000.0,23692000000000.0
203,M,False,21757000000000.0,21660000000000.0,24549000000000.0,24105000000000.0,22436000000000.0
204,M,True,11601000000000.0,10601000000000.0,11349000000000.0,8588000000000.0,9186700000000.0
205,M,False,10574000000000.0,9482700000000.0,8894500000000.0,11660000000000.0,14786000000000.0
206,M,True,22975000000000.0,18527000000000.0,19864000000000.0,18356000000000.0,17247000000000.0
207,M,False,17841000000000.0,18541000000000.0,19312000000000.0,18581000000000.0,22631000000000.0
208,M,True,23358000000000.0,22267000000000.0,20070000000000.0,24233000000000.0,26147000000000.0
209,M,False,21035000000000.0,22938000000000.0,21111000000000.0,20928000000000.0,19259000000000.0
210,M,True,34285000000000.0,35151000000000.0,38040000000000.0,35705000000000.0,38998000000000.0
211,M,False,27761000000000.0,29462000000000.0,29078000000000.0,33280000000000.0,30269000000000.0
212,M,False,53036000000000.0,47731000000000.0,52949000000000.0,48979000000000.0,55981000000000.0
213,M,False,16116000000000.0,18144000000000.0,22125000000000.0,22652000000000.0,29266000000000.0
214,M,True,53359000000000.0,57901000000000.0,56285000000000.0,56518000000000.0,52093000000000.0
215,M,True,59248000000000.0,59753000000000.0,58816000000000.0,55411000000000.0,55332000000000.0
216,M,False,52523000000000.0,42384000000000.0,42577000000000.0,47361000000000.0,40357000000000.0
217,M,False,40719000000000.0,43326000000000.0,42058000000000.0,41213000000000.0,42854000000000.0
218,M,False,39434000000000.0,37300000000000.0,42706000000000.0,42168000000000.0,45560000000000.0
219,M,True,73505000000000.0,71240000000000.0,74674000000000.0,72204000000000.0,72172000000000.0
220,M,False,86934000000000.0,86664000000000.0,89616000000000.0,89957000000000.0,91070000000000.0
221,M,False,91921000000000.0,93075000000000.0,92541000000000.0,85310000000000.0,86006000000000.0
222,M,False,41752000000000.0,39001000000000.0,36957000000000.0,38298000000000.0,38843000000000.0
223,M,False,38607000000000.0,39905000000000.0,39276000000000.0,37868000000000.0,40440000000000.0
224,M,False,36749000000000.0,26100000000000.0,38960000000000.0,32935000000000.0,30237000000000.0
225,M,True,5158200000000.0,4527800000000.0,5383100000000.0,5887100000000.0,6001500000000.0
226,M,False,6552000000000.0,7981300000000.0,10695000000000.0,8996400000000.0,11390000000000.0
227,M,False,502770000000.0,2489600000000.0,3723600000000.0,2841700000000.0,4748600000000.0
228,M,False,4520500000000.0,3178400000000.0,3697400000000.0,3464900000000.0,4064500000000.0
229,M,False,381780000000.0,32992000000.0,540430000000.0,303250000000.0,230210000000.0
230,M,False,540430000000.0,303250000000.0,230210000000.0,249430000000.0,799940000000.0
231,M,False,16690000000000.0,16080000000000.0,15772000000000.0,15755000000000.0,16282000000000.0
232,M,False,2074200000000.0,2223000000000.0,5321400000000.0,2188200000000.0,2551500000000.0
233,M,False,7130000000000.0,11314000000000.0,8679100000000.0,9715700000000.0,9068200000000.0
234,M,False,6365200000000.0,6121600000000.0,6732200000000.0,5080700000000.0,6218800000000.0
235,M,True,58112000000.0,539600000000.0,1599700000000.0,1650800000000.0,3118600000000.0
236,M,True,7189300000000.0,10559000000000.0,5469300000000.0,8192700000000.0,8837000000000.0
237,M,True,2836700000000.0,3306600000000.0,3064400000000.0,3404500000000.0,4081900000000.0
238,M,False,3102200000000.0,3958000000000.0,3515700000000.0,6192100000000.0,5742900000000.0
239,M,True,6230800000000.0,7455500000000.0,5563900000000.0,5423400000000.0,6022100000000.0
240,M,False,26576000000000.0,26441000000000.0,27173000000000.0,26294000000000.0,25027000000000.0
241,M,False,27432000000000.0,26013000000000.0,27715000000000.0,26419000000000.0,27787000000000.0
242,M,True,3376300000000.0,2789400000000.0,5093200000000.0,4863000000000.0,6124400000000.0
243,M,False,12027000000000.0,11405000000000.0,12379000000000.0,11043000000000.0,11668000000000.0
244,M,False,15743000000000.0,13480000000000.0,13525000000000.0,15202000000000.0,13214000000000.0
245,M,False,1726300000000.0,1964000000000.0,1273900000000.0,1863200000000.0,1333900000000.0
246,M,False,3036600000000.0,2251100000000.0,1149100000000.0,1529000000000.0,4401500000000.0
247,M,False,10582000000000.0,11644000000000.0,10348000000000.0,14811000000000.0,13486000000000.0
248,M,True,1645000000000.0,2111200000000.0,3599500000000.0,1996100000000.0,2991800000000.0
249,M,False,8433300000000.0,9044400000000.0,5954800000000.0,10784000000000.0,7662600000000.0
250,M,True,12335000000000.0,13283000000000.0,14248000000000.0,12423000000000.0,12635000000000.0
251,M,False,14103000000000.0,16365000000000.0,15201000000000.0,15453000000000.0,16084000000000.0
252,M,False,1069000000000.0,747990000000.0,1200600000000.0,1132200000000.0,1584200000000.0
253,M,False,22245000000000.0,26643000000000.0,28083000000000.0,20167000000000.0,25676000000000.0
254,M,False,8284000000000.0,9861200000000.0,11291000000000.0,11231000000000.0,12067000000000.0
255,M,False,2567200000000.0,1983200000000.0,1931100000000.0,2863200000000.0,2307200000000.0
256,M,False,23185000000000.0,23081000000000.0,22972000000000.0,26622000000000.0,24732000000000.0
257,M,False,18885000000000.0,19124000000000.0,22187000000000.0,22008000000000.0,20918000000000.0
258,M,False,5387300000000.0,4511200000000.0,5662100000000.0,4739900000000.0,5293500000000.0
259,M,False,39177000000000.0,35713000000000.0,40239000000000.0,44549000000000.0,39840000000000.0
260,M,True,23030000000000.0,26385000000000.0,25422000000000.0,25057000000000.0,23599000000000.0
261,M,False,24317000000000.0,24471000000000.0,22973000000000.0,24071000000000.0,24170000000000.0
262,M,False,4371100000000.0,4002500000000.0,4841900000000.0,4792400000000.0,5931600000000.0
263,M,False,3105400000000.0,2993800000000.0,3070500000000.0,3659900000000.0,3110400000000.0
264,M,False,23263000000000.0,23063000000000.0,24702000000000.0,23871000000000.0,24287000000000.0
265,M,False,20203000000000.0,18582000000000.0,18486000000000.0,19619000000000.0,14653000000000.0
266,M,False,3987600000000.0,4412300000000.0,5560800000000.0,4889100000000.0,4955100000000.0
267,M,False,865960000000.0,679590000000.0,737120000000.0,813720000000.0,558380000000.0
268,M,False,13707000000000.0,11066000000000.0,15032000000000.0,13800000000000.0,9708100000000.0
269,M,False,4594500000000.0,5371700000000.0,5772600000000.0,5522400000000.0,7043500000000.0
270,M,True,31552000000000.0,29693000000000.0,30799000000000.0,31048000000000.0,31516000000000.0
271,M,False,31048000000000.0,31516000000000.0,30302000000000.0,30993000000000.0,30678000000000.0
272,M,False,781410000000.0,300670000000.0,735430000000.0,472440000000.0,1151000000000.0
273,M,False,25643000000000.0,26261000000000.0,26503000000000.0,27744000000000.0,26445000000000.0
274,M,True,10407000000000.0,12555000000000.0,11454000000000.0,11035000000000.0,9304300000000.0
275,M,False,19418000000000.0,19751000000000.0,19563000000000.0,18594000000000.0,18033000000000.0
276,M,True,2978400000000.0,2576500000000.0,1917300000000.0,2146100000000.0,4224100000000.0
277,M,False,17399000000000.0,15264000000000.0,13767000000000.0,13319000000000.0,11852000000000.0
278,M,True,7331600000000.0,7843000000000.0,8564400000000.0,8016700000000.0,8391900000000.0
279,M,True,14661000000000.0,14869000000000.0,13100000000000.0,13037000000000.0,10649000000000.0
280,M,False,16411000000000.0,20672000000000.0,22300000000000.0,25329000000000.0,21207000000000.0
281,M,False,22300000000000.0,25329000000000.0,21207000000000.0,23353000000000.0,24317000000000.0
282,M,False,21307000000000.0,20977000000000.0,22506000000000.0,22762000000000.0,22211000000000.0
283,M,False,18720000000000.0,17261000000000.0,18494000000000.0,18206000000000.0,16313000000000.0
284,M,False,18206000000000.0,16313000000000.0,16646000000000.0,16762000000000.0,21830000000000.0
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,737520000000.0,192270000000.0,281850000000.0,706890000000.0,211250000000.0
287,M,True,2190700000000.0,14802000000000.0,14425000000000.0,16143000000000.0,16360000000000.0
288,M,False,8753700000000.0,7325600000000.0,12771000000000.0,11034000000000.0,7679300000000.0
289,M,False,3177600000000.0,789760000000.0,3765500000000.0,7646600000000.0,4847800000000.0
290,M,False,1200000000000.0,1732700000000.0,1999500000000.0,981160000000.0,1797800000000.0
291,M,False,12313000000000.0,12662000000000.0,17529000000000.0,18040000000000.0,12239000000000.0
292,M,True,36083000000000.0,33229000000000.0,32955000000000.0,31008000000000.0,30663000000000.0
293,M,False,37142000000000.0,39474000000000.0,39428000000000.0,37317000000000.0,38516000000000.0
294,M,False,20326000000000.0,19374000000000.0,20191000000000.0,17860000000000.0,18033000000000.0
295,M,False,35734000000000.0,27488000000000.0,28285000000000.0,28395000000000.0,37164000000000.0
296,M,True,15399000000000.0,15704000000000.0,14386000000000.0,15900000000000.0,16010000000000.0
297,M,False,14386000000000.0,15900000000000.0,16010000000000.0,14432000000000.0,14735000000000.0
298,M,False,34571000000000.0,34618000000000.0,38034000000000.0,38820000000000.0,35941000000000.0
299,M,False,8787000000000.0,9245800000000.0,8211300000000.0,7483000000000.0,8085100000000.0
300,M,False,12012000000000.0,11717000000000.0,13683000000000.0,13548000000000.0,10689000000000.0
301,M,True,15750000000000.0,14363000000000.0,16821000000000.0,16564000000000.0,14829000000000.0
302,M,False,13564000000000.0,13923000000000.0,16039000000000.0,14981000000000.0,15012000000000.0
