,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,before_coincident_flare,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,expected_timepoint,observed_timepoint,time_difference
1337,2010-05-03 09:48:00,not applicable,not applicable,11065.0,N,0.0,False,False,2.5797,46.041,26.629,39.382,117.34,116.34,0.085683,-0.0017865,1480.9,22.582,0.0,98052000000.0,2.8393,2.8399e+21,42.88,1046200000000.0,8.3075e+20,0.0,0.0,0.0,2010-05-03 05:48:00,2010-05-03 05:48:00,0 days 00:00:00
1338,2010-05-06 15:48:00,not applicable,not applicable,11070.0,N,0.0,False,False,1.3501,27.98,30.949,64.933,152.18,146.89,1.3704,-0.0029222,1965.0,23.627,2.2919,338940000000.0,4.5455,1.2056e+21,25.115,552460000000.0,2.6768e+20,0.0,0.0,0.0,2010-05-06 11:48:00,2010-05-06 11:48:00,0 days 00:00:00
1339,2010-05-08 21:48:00,not applicable,not applicable,11071.0,N,0.0,False,False,2.9408,22.3,29.047,49.875,133.38,130.64,-0.20642,-0.003152,2004.7,24.371,1.6905,103160000000.0,5.0375,2.4839e+21,38.947,824970000000.0,6.0874e+20,0.0,0.0,0.0,2010-05-08 17:48:00,2010-05-08 17:48:00,0 days 00:00:00
1341,2010-05-30 18:00:00,not applicable,not applicable,11074.0,N,0.0,False,False,6.5133,35.827,28.432,43.777,90.458,89.529,0.0065895,-0.0022124,2738.1,20.835,2.6825,458750000000.0,2.3777,1.0705e+22,104.81,1756900000000.0,2.1895e+21,0.0,0.0,0.0,2010-05-30 14:00:00,2010-05-30 14:00:00,0 days 00:00:00
1342,2010-06-18 12:48:00,not applicable,not applicable,11083.0,N,0.0,False,False,6.6391,39.041,40.116,69.459,136.2,134.26,0.35986,-0.013412,1915.5,27.086,2.5725,427190000000.0,14.949,1.2592e+21,25.382,573810000000.0,2.7192e+20,0.0,0.0,0.0,2010-06-18 08:48:00,2010-06-18 08:48:00,0 days 00:00:00
1343,2010-06-28 18:00:00,not applicable,not applicable,11085.0,N,0.0,False,False,3.3874,60.752,29.098,53.396,131.72,129.96,1.1398,0.0052194,1553.5,20.346,1.7623,402050000000.0,1.3867,1.3389e+21,24.512,562480000000.0,3.8534e+20,0.0,0.0,0.0,2010-06-28 14:00:00,2010-06-28 14:00:00,0 days 00:00:00
1344,2010-07-13 15:36:00,not applicable,not applicable,11088.0,N,0.0,False,False,2.9084,46.795,29.786,57.426,140.8,139.72,0.42653,0.0028542,1865.7,22.993,0.0,236300000000.0,2.7478,2.5248e+21,47.113,1053900000000.0,6.2943e+20,0.0,0.0,0.0,2010-07-13 11:36:00,2010-07-13 11:36:00,0 days 00:00:00
1345,2010-07-27 15:36:00,not applicable,not applicable,11090.0,N,0.0,False,False,2.5513,58.762,32.003,45.893,113.94,115.82,0.93898,0.0019762,1725.3,27.142,2.5204,657690000000.0,8.598,2.958e+21,48.753,1344400000000.0,6.7017e+20,0.0,0.0,0.0,2010-07-27 11:36:00,2010-07-27 11:36:00,0 days 00:00:00
1346,2010-08-30 05:24:00,not applicable,not applicable,11104.0,N,0.0,False,False,2.8774,125.99,30.484,62.096,142.81,141.11,0.64952,0.0014726,1739.9,21.049,0.0,680680000000.0,1.6377,4.515e+21,90.531,1949200000000.0,1.2136e+21,0.0,0.0,0.0,2010-08-30 01:24:00,2010-08-30 01:24:00,0 days 00:00:00
1347,2010-10-15 19:36:00,not applicable,not applicable,11114.0,N,0.0,False,False,2.6246,31.03,23.907,42.283,118.22,117.53,-0.85819,-0.0013749,1334.8,18.309,0.0,856430000000.0,0.20953,3.384e+21,70.29,1367100000000.0,1.294e+21,0.0,0.0,0.0,2010-10-15 15:36:00,2010-10-15 15:36:00,0 days 00:00:00
1348,2010-10-18 21:48:00,not applicable,not applicable,11116.0,N,0.0,False,False,3.3019,16.824,32.587,87.762,178.91,181.78,0.68783,-0.011006,2469.5,20.656,1.9184,107670000000.0,4.0,9.8388e+20,20.954,370840000000.0,2.3339e+20,0.0,0.0,0.0,2010-10-18 17:48:00,2010-10-18 17:48:00,0 days 00:00:00
1349,2010-10-23 06:00:00,not applicable,not applicable,11118.0,N,0.0,False,False,2.9867,86.221,31.099,51.399,127.43,127.3,0.58831,-0.0019207,1573.4,22.588,0.0,476540000000.0,2.701,3.2493e+21,62.389,1452300000000.0,9.0019e+20,0.0,0.0,0.0,2010-10-23 02:00:00,2010-10-23 02:00:00,0 days 00:00:00
