,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60,MEANGBH_61,MEANGBH_62,MEANGBH_63,MEANGBH_64,MEANGBH_65,MEANGBH_66,MEANGBH_67,MEANGBH_68,MEANGBH_69,MEANGBH_70,MEANGBH_71,MEANGBH_72,MEANGBH_73,MEANGBH_74,MEANGBH_75,MEANGBH_76,MEANGBH_77,MEANGBH_78,MEANGBH_79,MEANGBH_80,MEANGBH_81,MEANGBH_82,MEANGBH_83,MEANGBH_84,MEANGBH_85,MEANGBH_86,MEANGBH_87,MEANGBH_88,MEANGBH_89,MEANGBH_90,MEANGBH_91,MEANGBH_92,MEANGBH_93,MEANGBH_94,MEANGBH_95,MEANGBH_96,MEANGBH_97,MEANGBH_98,MEANGBH_99,MEANGBH_100,MEANGBH_101,MEANGBH_102,MEANGBH_103,MEANGBH_104,MEANGBH_105,MEANGBH_106,MEANGBH_107,MEANGBH_108,MEANGBH_109,MEANGBH_110,MEANGBH_111,MEANGBH_112,MEANGBH_113,MEANGBH_114,MEANGBH_115,MEANGBH_116,MEANGBH_117,MEANGBH_118,MEANGBH_119,MEANGBH_120
10,X,False,60.067,60.44,60.837,60.315,60.779,60.331,60.482,60.682,60.807,60.313,60.153,60.041,59.504,58.999,59.119,59.29,58.754,58.727,58.312,58.415,58.576,58.747,58.788,59.335,59.493,59.646,60.257,60.28,60.931,61.049,61.407,61.24033333333333,61.07366666666666,60.907,60.161,59.862,59.893,59.388,58.859,58.375,57.944,57.603,57.818,58.196,58.163,58.565,58.363,58.861,58.815,58.515,58.514,58.577,58.55,58.866,59.341,58.742,58.946,58.945,58.985,59.153,59.234,59.068,59.244,59.208,58.948,59.434,59.439,59.243,59.24,59.561,58.962,58.982,59.163,59.482,59.132,59.503,58.946,59.171,59.255,59.012,58.637,58.918,58.859,58.86,59.583,60.132,60.446,61.045,61.287,61.775,61.958,62.123,61.751,61.911,62.0,61.723,61.284,61.083,60.324,59.896,60.064,59.976,59.979,60.56,60.717,60.766,60.646,61.154,61.429,61.771,62.146,62.64,63.139,63.348,63.269,63.635,64.34,66.002,65.731,65.915
11,X,False,56.958,56.773,57.003,57.085,57.313,57.702,57.943,58.21,58.573,59.076,59.271,59.248,59.625,59.644,60.247,60.392,60.215,60.212,60.361,60.149,59.853,59.34,59.099,58.963,53.674,58.159,57.409,57.355,57.365,57.356,57.335,57.292,57.364,57.358,57.409,57.641,57.851,57.906,58.482,58.407,58.982,59.173,59.374,59.52,59.622,59.669,59.774,59.987,59.628,59.58,59.183,59.328,59.388,59.084,58.986,58.873,58.977,59.102,59.093,59.039,59.133,58.583,58.817,58.374,58.082,57.95,57.683,57.504,57.467,57.12,56.817,56.776,57.064,57.076,57.492,57.656,58.084,58.352,58.85,59.084,59.574,59.666,59.726,60.111,60.302,60.326,60.193,60.028,60.194,59.711,59.687,59.711,59.617,59.339,59.026,58.782,58.353,58.342,58.285,58.082,57.734,57.646,57.274,57.176,56.968,56.921,56.771,56.635,56.988,56.756,56.554,56.493,56.645,56.592,56.943,56.924,56.817,57.143,57.373,57.348
12,X,False,42.835,42.8842905982906,42.933581196581194,42.9828717948718,43.032162393162395,43.08145299145299,43.13074358974359,43.18003418803419,43.22932478632479,43.278615384615385,43.32790598290598,43.37719658119658,43.42648717948718,43.47577777777778,43.525068376068376,43.57435897435897,43.623649572649576,43.67294017094017,43.72223076923077,43.771521367521366,43.82081196581196,43.87010256410257,43.91939316239316,43.96868376068376,44.01797435897436,44.06726495726496,44.11655555555556,44.165846153846154,44.21513675213675,44.26442735042735,44.31371794871795,44.36300854700855,44.412299145299144,44.46158974358974,44.510880341880345,44.56017094017094,44.60946153846154,44.658752136752135,44.70804273504273,44.757333333333335,44.80662393162393,44.85591452991453,44.905205128205125,44.95449572649573,45.003786324786326,45.05307692307692,45.10236752136752,45.151658119658116,45.20094871794872,45.250239316239316,45.29952991452991,45.34882051282051,45.39811111111111,45.44740170940171,45.49669230769231,45.5459829059829,45.5952735042735,45.644564102564104,45.6938547008547,45.7431452991453,45.792435897435894,45.8417264957265,45.891017094017094,45.94030769230769,45.98959829059829,46.038888888888884,46.08817948717949,46.137470085470085,46.18676068376068,46.23605128205128,46.28534188034188,46.33463247863248,46.383923076923075,46.43321367521367,46.48250427350427,46.53179487179487,46.58108547008547,46.630376068376066,46.67966666666666,46.728957264957266,46.77824786324786,46.82753846153846,46.876829059829056,46.92611965811965,46.97541025641026,47.02470085470085,47.07399145299145,47.12328205128205,47.17257264957264,47.22186324786325,47.271153846153844,47.32044444444444,47.36973504273504,47.41902564102564,47.46831623931624,47.517606837606834,47.56689743589743,47.61618803418803,47.66547863247863,47.71476923076923,47.764059829059825,47.81335042735042,47.862641025641025,47.91193162393162,47.96122222222222,48.010512820512815,48.05980341880341,48.109094017094016,48.15838461538461,48.20767521367521,48.256965811965806,48.30625641025641,48.355547008547006,48.4048376068376,48.4541282051282,48.503418803418796,48.5527094017094,48.602,47.343,47.424
13,X,False,39.573,39.463,39.73,39.197,39.719,39.464,39.49,40.768,40.963,41.242,41.374,42.004,42.553,42.452,43.484,43.161,42.889,43.255,43.122,42.656,42.35,41.693,41.48,41.72,41.995,42.285,42.047,41.911,42.45,41.997,41.934,42.13,42.199,43.31,43.014,42.607,42.317,43.056,42.814,42.357,42.449,42.057,41.984,42.674,42.815,43.035,43.44,42.429,43.248,43.35,43.469,44.143,43.902,44.017,43.838,43.643,43.666,43.415,43.379,44.144,43.868,43.773,41.834,41.559,43.683,43.524,43.898,43.984,43.236,43.31,43.752,43.169,43.29,43.037,43.843,43.863,44.325,41.411,43.549,44.008,43.313,44.028,43.941,43.17,44.56,43.9,44.551,44.43,44.667,44.728,44.386,42.743,44.115,44.507,44.434,44.294,44.272,42.372,43.724,43.162,43.391,43.705,43.82,43.409,43.25,41.317,43.283,42.919,42.958,42.42,42.983,43.24,43.45,43.981,43.951,43.784,43.563,44.461,43.763,44.017
14,X,True,49.429,45.02,42.869,38.761,35.353,35.481,33.626,30.971,30.886,31.346,30.315,29.885,30.151,30.789,30.705,30.398,30.526,30.655,31.202,30.815,31.25,31.514,31.988,33.71,36.337,35.281,37.263,37.5009375,37.738875,37.9768125,38.214749999999995,38.452687499999996,38.690625,38.9285625,39.1665,39.4044375,39.642375,39.8803125,40.11825,40.3561875,40.594125,40.8320625,41.07,41.3079375,41.545875,41.7838125,42.02175,42.2596875,42.497625,42.7355625,42.9735,43.2114375,43.449375,43.687312500000004,43.925250000000005,44.1631875,44.401125,44.6390625,44.877,47.497,46.977,47.346,47.293,46.942,47.172,47.941,46.258,46.433,47.094,47.156,47.399,47.796,47.63,47.741,47.239,48.146,48.751,47.971,48.377,46.824,49.062,46.889,47.355,47.264,47.088,46.846,46.913,47.315,47.674,48.444,48.073,46.614,47.705,47.842,47.829,48.644,48.199,50.22,50.086,50.34,48.302,49.268,47.755,48.929,49.105,48.647,48.689,49.377,49.172,47.998,48.075,47.909,48.521,49.469,50.429,49.664,49.671,50.733,50.614,50.636
15,X,True,37.263,37.5009375,37.738875,37.9768125,38.214749999999995,38.452687499999996,38.690625,38.9285625,39.1665,39.4044375,39.642375,39.8803125,40.11825,40.3561875,40.594125,40.8320625,41.07,41.3079375,41.545875,41.7838125,42.02175,42.2596875,42.497625,42.7355625,42.9735,43.2114375,43.449375,43.687312500000004,43.925250000000005,44.1631875,44.401125,44.6390625,44.877,47.497,46.977,47.346,47.293,46.942,47.172,47.941,46.258,46.433,47.094,47.156,47.399,47.796,47.63,47.741,47.239,48.146,48.751,47.971,48.377,46.824,49.062,46.889,47.355,47.264,47.088,46.846,46.913,47.315,47.674,48.444,48.073,46.614,47.705,47.842,47.829,48.644,48.199,50.22,50.086,50.34,48.302,49.268,47.755,48.929,49.105,48.647,48.689,49.377,49.172,47.998,48.075,47.909,48.521,49.469,50.429,49.664,49.671,50.733,50.614,50.636,48.939,54.111,53.529,51.52,51.924,51.054,51.385,51.569,50.426,50.39,49.527,49.355,50.873,50.83,51.359,49.938,49.165,49.933,49.705,49.754,49.767,50.159,49.323,49.849,50.592,49.788
16,X,True,50.418,50.548,50.835,50.851,50.882,50.874,51.241,50.841,50.822,50.957,50.85,49.984,49.537,49.41,48.913,47.98,47.397,47.303,46.811,46.846,46.787,46.545,46.26,46.382,47.107,46.895,47.502,47.698,48.087,48.517,48.778,48.912,48.875,49.005,48.78,48.739,48.76,48.049,47.935,47.658,47.475,47.148,47.087,46.778,46.342,46.134,45.619,45.532,44.8,44.558,44.652,44.398,44.572,44.706,44.578,44.887,44.785,44.882,45.274,45.182,45.135,45.102,44.988,45.522,45.714,45.459,45.258,45.614,45.677,45.774,45.239,45.377,45.306,44.49,44.488,43.757,43.244,43.179,42.626,42.213,41.695,41.777,41.539,41.461,41.198,41.44,41.177,41.802,41.748,41.605,42.138,42.003,42.49,42.841,42.802,42.919,42.888,42.987,42.374,42.336,42.17,41.847,41.269,40.934,40.593,40.328,40.436,40.35,40.008,39.602,39.393,39.182,39.022,38.681,38.531,38.504,38.596,38.635,38.546,39.087
17,X,False,35.407,34.687,34.5,34.861,34.72,34.37,34.753,34.359,34.195,33.888,33.738,33.638,33.322,32.988,33.265,32.69,32.692,32.451,32.192,33.011,32.754,32.878,32.673,32.097,32.952,32.208,33.26,33.008,32.849,32.797,32.583,32.885,32.338,31.786,31.759,32.155,31.854,31.337,31.11,31.14,30.717,30.421,30.442,30.497,30.186,30.281,30.668,30.559,31.376,30.258,30.21,30.318,29.965,29.806,29.792,30.188,29.838,29.521,29.533,29.532,29.437,28.768,29.227,28.937,29.499,29.602,29.203,28.829,28.104,27.861,28.432,27.95,27.96,28.183,27.394,27.448,27.184,26.473,26.929,26.905,26.992,26.789,28.024,27.732,28.16,27.69,29.336,27.61,27.613,26.932,29.083,27.055,26.615,26.979,27.584,27.305,27.269,27.68,27.437,27.579,27.992,28.962,28.788,29.176,28.786,30.135,28.411,29.618,28.852,29.886,29.721,29.662,27.878,26.892,26.389,26.774,28.277,26.823,25.889,28.14
18,X,False,49.664,49.558,49.519,49.283,49.522,49.588,49.233,49.592,49.435,49.498,49.816,49.642,49.899,50.117,50.518,50.998,51.345,51.331,51.702,52.217,52.663,52.416,52.822,52.635,52.662,53.192,52.423,52.292,52.107,51.986,51.731,52.242,52.114,51.767,51.671,51.317,51.222,51.239,50.721,50.52,50.352,50.467,50.337,50.864,51.044,51.753,51.833,52.451,53.023,53.258,53.354,53.714,53.93,54.025,53.813,53.981,53.92,54.155,54.422,54.234,53.716,53.487,53.567,53.379,53.664,53.701,53.303,53.433,53.281,53.498,53.536,53.836,54.069,54.559,54.524,54.391,54.704,54.691,55.186,55.012,55.232,55.452,55.507,55.355,55.511,55.442,54.881,54.41,54.051,53.749,53.814,53.5,53.321,53.003,53.139,52.986,53.113,53.047,52.98,53.567,54.176,55.03,55.656,56.061,56.573,56.736,57.279,57.514,57.598,57.739,58.269,58.186,58.116,57.776,57.576,57.224,56.954,56.436,56.65,56.036
19,X,False,65.067,64.835,65.433,65.911,66.286,65.857,65.549,65.149,64.817,64.593,64.127,63.324,62.82,62.39,62.028,61.99,61.498,61.97,62.379,62.788,62.947,63.223,63.625,63.767,64.313,64.405,65.04,65.311,65.363,65.358,65.484,65.411,65.492,65.233,65.625,65.497,66.046,65.954,65.833,65.449,65.759,65.552,65.846,66.045,65.813,65.955,65.711,66.035,65.644,65.315,65.251,65.407,65.356,64.836,64.599,64.298,64.005,64.308,64.177,64.092,64.055,64.446,64.521,64.889,65.643,65.923,66.555,67.043,67.224,67.259,67.43,67.31700000000001,67.204,67.091,66.878,66.39,65.898,65.051,64.731,63.888,63.477,63.273,62.709,62.807,62.376,62.876,63.021,63.017,63.523,62.743,63.237,63.219,63.317,63.18,63.26,63.366,63.612,63.576,63.974,63.99,63.714,63.51,63.417,63.546,63.617,63.64,63.537,63.532,63.446,63.487,63.302,63.531,63.349,63.733,63.58,64.001,64.259,64.496,65.129,65.702
20,X,False,66.801,67.613,67.692,67.809,68.519,68.463,68.679,68.908,69.229,69.543,69.802,69.759,69.369,68.807,68.474,68.129,67.747,67.382,67.035,66.935,66.742,66.749,66.991,66.966,66.845,66.816,66.969,66.984,66.56,66.693,66.663,66.577,66.732,66.418,66.518,66.546,66.766,66.593,67.01,66.345,66.683,66.721,66.787,66.242,66.392,66.133,66.016,66.145,66.357,66.22,66.83,67.174,67.812,68.099,68.129,68.526,68.134,68.318,68.326,67.97,67.605,67.167,66.765,66.776,66.178,65.288,64.769,64.768,64.183,63.701,63.346,63.599,64.003,64.475,64.915,65.292,65.46,65.578,65.349,65.683,66.782,66.583,66.407,66.644,66.971,67.303,68.086,67.606,67.729,67.551,67.275,67.366,67.938,68.254,68.085,67.779,67.596,67.876,67.768,67.824,67.899,67.654,67.91,67.778,67.495,67.361,66.893,66.855,66.635,66.149,65.231,65.374,64.929,64.576,63.888,63.993,63.818,63.268,63.11,62.648
21,X,False,45.517,45.372,45.092,44.697,44.45,44.875,44.8,45.0,44.784,44.252,44.336,44.11,44.392,44.314,44.454,44.454,44.759,44.713,45.057,45.533,45.033,45.115,45.182,45.2,45.041,45.089,45.415,45.358,45.161,45.209,45.339,44.525,44.432,44.158,44.064,43.765,43.398,43.627,43.586,41.97,43.011,43.186,43.217,43.156,43.303,43.258,43.48,43.682,43.805,43.883,43.506,43.482,43.141,42.812,43.224,43.32,43.148,41.543,42.755,42.333,42.627,42.115,41.848,41.51,41.249,40.954,41.118,41.371,41.104,41.277,41.164,40.824,40.985,41.107,40.868,40.734,40.109,40.162,40.462,40.597,41.446,40.907,40.67,40.838,40.915,41.229,41.37,41.121,40.522,40.616,40.554,40.355,40.389,40.336,40.186,39.787,40.257,40.489,40.248,39.851,39.357,39.141,39.055,38.564,38.583,38.59,38.519,38.667,38.525,38.84,39.196,38.634,39.35,38.644,39.743,38.752,38.596,38.531,38.467,38.509
